sleeper_id,adp_overall,gsis_id,full_name,position,_key,our_vbd_rank,value_gap,label
10222,121.0,,Jayden Reed,WR,jayden reed,93,28.0,VALUE
10229,118.0,,Rashee Rice,WR,rashee rice,59,59.0,VALUE
10236,112.0,,Dalton Kincaid,TE,dalton kincaid,84,28.0,VALUE
10859,46.0,,Sam LaPorta,TE,sam laporta,37,9.0,
11563,41.0,,Bo Nix,QB,bo nix,14,27.0,VALUE
11564,123.0,,Drake Maye,QB,drake maye,56,67.0,VALUE
11566,28.0,,Jayden Daniels,QB,jayden daniels,22,6.0,
11584,31.0,,Bucky Irving,RB,bucky irving,29,2.0,
11604,18.0,,Brock Bowers,TE,brock bowers,49,-31.0,REACH
11620,115.0,,Rome Odunze,WR,rome odunze,169,-54.0,REACH
11624,147.0,,Xavier Worthy,WR,xavier worthy,65,82.0,VALUE
11626,141.0,,Xavier Legette,WR,xavier legette,136,5.0,
11632,11.0,,Malik Nabers,WR,malik nabers,16,-5.0,
11635,19.0,,Ladd McConkey,WR,ladd mcconkey,26,-7.0,
11637,114.0,,Keon Coleman,WR,keon coleman,144,-30.0,REACH
11638,94.0,,Ricky Pearsall,WR,ricky pearsall,151,-57.0,REACH
1466,56.0,00-0030506,Travis Kelce,TE,travis kelce,105,-49.0,REACH
1479,150.0,00-0030279,Keenan Allen,WR,keenan allen,78,72.0,VALUE
2133,47.0,00-0031381,Davante Adams,WR,davante adams,41,6.0,
2216,48.0,00-0031408,Mike Evans,WR,mike evans,10,38.0,VALUE
2449,122.0,00-0031588,Stefon Diggs,WR,stefon diggs,114,8.0,
3163,106.0,00-0033106,Jared Goff,QB,jared goff,66,40.0,VALUE
3198,7.0,00-0032764,Derrick Henry,RB,derrick henry,67,-60.0,REACH
3214,148.0,00-0033090,Hunter Henry,TE,hunter henry,145,3.0,
3294,89.0,00-0033077,Dak Prescott,QB,dak prescott,85,4.0,
3321,26.0,00-0033040,Tyreek Hill,WR,tyreek hill,21,5.0,
4018,84.0,00-0033897,Joe Mixon,RB,joe mixon,32,52.0,VALUE
4033,77.0,00-0033885,David Njoku,TE,david njoku,107,-30.0,REACH
4034,10.0,00-0033280,Christian McCaffrey,RB,christian mccaffrey,13,-3.0,
4035,45.0,00-0033906,Alvin Kamara,RB,alvin kamara,1,44.0,VALUE
4039,93.0,00-0033908,Cooper Kupp,WR,cooper kupp,63,30.0,VALUE
4046,30.0,00-0033873,Patrick Mahomes,QB,patrick mahomes,19,11.0,
4066,54.0,00-0033881,Evan Engram,TE,evan engram,95,-41.0,REACH
4137,53.0,00-0033553,James Conner,RB,james conner,40,13.0,VALUE
4144,135.0,00-0033858,Jonnu Smith,TE,jonnu smith,35,100.0,VALUE
4199,74.0,00-0033293,Aaron Jones,RB,aaron jones,97,-23.0,REACH
4217,33.0,00-0033288,George Kittle,TE,george kittle,6,27.0,VALUE
4663,129.0,00-0033699,Austin Ekeler,RB,austin ekeler,99,30.0,VALUE
4866,2.0,00-0034844,Saquon Barkley,RB,saquon barkley,64,-62.0,REACH
4881,15.0,00-0034796,Lamar Jackson,QB,lamar jackson,11,4.0,
4892,34.0,00-0034855,Baker Mayfield,QB,baker mayfield,52,-18.0,REACH
4981,64.0,00-0034837,Calvin Ridley,WR,calvin ridley,48,16.0,VALUE
4983,66.0,00-0034827,DJ Moore,WR,dj moore,38,28.0,VALUE
4984,22.0,00-0034857,Josh Allen,QB,josh allen,24,-2.0,
4988,126.0,00-0034791,Nick Chubb,RB,nick chubb,122,4.0,
5012,60.0,00-0034753,Mark Andrews,TE,mark andrews,53,7.0,
5022,142.0,00-0034351,Dallas Goedert,TE,dallas goedert,39,103.0,VALUE
5045,63.0,00-0034348,Courtland Sutton,WR,courtland sutton,58,5.0,
5844,50.0, 00-0035229,T.J. Hockenson,TE,t.j. hockenson,54,-4.0,
5846,39.0, 00-0035640,DK Metcalf,WR,dk metcalf,80,-41.0,REACH
5849,83.0, 00-0035228,Kyler Murray,QB,kyler murray,46,37.0,VALUE
5850,20.0, 00-0035700,Josh Jacobs,RB,josh jacobs,23,-3.0,
5859,16.0, 00-0035676,A.J. Brown,WR,a.j. brown,15,1.0,
5892,70.0, 00-0035685,David Montgomery,RB,david montgomery,28,42.0,VALUE
5927,42.0, 00-0035659,Terry McLaurin,WR,terry mclaurin,30,12.0,VALUE
5947,91.0, 00-0034960,Jakobi Meyers,WR,jakobi meyers,86,5.0,
5967,72.0, 00-0035261,Tony Pollard,RB,tony pollard,115,-43.0,REACH
6770,29.0,,Joe Burrow,QB,joe burrow,83,-54.0,REACH
6783,67.0,,Jerry Jeudy,WR,jerry jeudy,76,-9.0,
6786,4.0,,CeeDee Lamb,WR,ceedee lamb,20,-16.0,REACH
6790,68.0,,D'Andre Swift,RB,d'andre swift,108,-40.0,REACH
6794,6.0,,Justin Jefferson,WR,justin jefferson,4,2.0,
6797,90.0,,Justin Herbert,QB,justin herbert,146,-56.0,REACH
6801,23.0,,Tee Higgins,WR,tee higgins,31,-8.0,
6804,136.0,,Jordan Love,QB,jordan love,304,-168.0,REACH
6806,102.0,,J.K. Dobbins,RB,j.k. dobbins,128,-26.0,REACH
6813,21.0,,Jonathan Taylor,RB,jonathan taylor,9,12.0,VALUE
6819,111.0,,Michael Pittman,WR,michael pittman,101,10.0,
6904,25.0,,Jalen Hurts,QB,jalen hurts,33,-8.0,
7049,149.0,,Jauan Jennings,WR,jauan jennings,61,88.0,VALUE
7525,51.0,,DeVonta Smith,WR,devonta smith,7,44.0,VALUE
7526,69.0,,Jaylen Waddle,WR,jaylen waddle,91,-22.0,REACH
7543,88.0,,Travis Etienne,RB,travis etienne,126,-38.0,REACH
7547,8.0,,Amon-Ra St. Brown,WR,amon-ra st. brown,5,3.0,
7553,113.0,,Kyle Pitts,TE,kyle pitts,74,39.0,VALUE
7564,1.0,,Ja'Marr Chase,WR,ja'marr chase,27,-26.0,REACH
7569,12.0,,Nico Collins,WR,nico collins,8,4.0,
7588,104.0,,Javonte Williams,RB,javonte williams,193,-89.0,REACH
7591,124.0,,Justin Fields,QB,justin fields,341,-217.0,REACH
7594,52.0,,Chuba Hubbard,RB,chuba hubbard,87,-35.0,REACH
7611,134.0,,Rhamondre Stevenson,RB,rhamondre stevenson,160,-26.0,REACH
8110,131.0,,Jake Ferguson,TE,jake ferguson,69,62.0,VALUE
8112,14.0,,Drake London,WR,drake london,25,-11.0,
8130,32.0,,Trey McBride,TE,trey mcbride,55,-23.0,REACH
8134,97.0,,Khalil Shakir,WR,khalil shakir,129,-32.0,REACH
8137,62.0,,George Pickens,WR,george pickens,72,-10.0,
8138,24.0,,James Cook,RB,james cook,18,6.0,
8144,76.0,,Chris Olave,WR,chris olave,174,-98.0,REACH
8146,43.0,,Garrett Wilson,WR,garrett wilson,60,-17.0,REACH
8148,57.0,,Jameson Williams,WR,jameson williams,62,-5.0,
8150,35.0,,Kyren Williams,RB,kyren williams,12,23.0,VALUE
8154,82.0,,Brian Robinson,RB,brian robinson,202,-120.0,REACH
8155,49.0,,Breece Hall,RB,breece hall,43,6.0,
8183,87.0,,Brock Purdy,QB,brock purdy,88,-1.0,
8205,55.0,,Isiah Pacheco,RB,isiah pacheco,161,-106.0,REACH
8228,110.0,,Jaylen Warren,RB,jaylen warren,130,-20.0,REACH
8408,120.0,,Jordan Mason,RB,jordan mason,172,-52.0,REACH
8676,146.0,,Rashid Shaheed,WR,rashid shaheed,117,29.0,VALUE
9221,5.0,,Jahmyr Gibbs,RB,jahmyr gibbs,34,-29.0,REACH
9224,38.0,,Chase Brown,RB,chase brown,70,-32.0,REACH
9226,27.0,,De'Von Achane,RB,de'von achane,2,25.0,VALUE
9484,116.0,,Tucker Kraft,TE,tucker kraft,106,10.0,
9488,36.0,,Jaxon Smith-Njigba,WR,jaxon smith-njigba,71,-35.0,REACH
9493,9.0,,Puka Nacua,WR,puka nacua,3,6.0,
9500,132.0,,Josh Downs,WR,josh downs,131,1.0,
9509,3.0,,Bijan Robinson,RB,bijan robinson,17,-14.0,REACH
9753,119.0,,Zach Charbonnet,RB,zach charbonnet,81,38.0,VALUE
9756,98.0,,Jordan Addison,WR,jordan addison,51,47.0,VALUE
9997,59.0,,Zay Flowers,WR,zay flowers,36,23.0,VALUE
