player_display_name,position,team,our_model_rank,our_projected_points,fp_ecr_rank,sleeper_adp,consensus_blend_rank,diff_our_vs_blend,diff_our_vs_fp
Amon-Ra St. Brown,WR,DET,1,,4.0,,2.5,-1.5,-3.0
De'Von Achane,RB,MIA,2,,4.0,,3.0,-1.0,-2.0
Bucky Irving,RB,TB,3,,15.0,,9.0,-6.0,-12.0
Justin Jefferson,WR,MIN,4,,4.0,,4.0,0.0,0.0
James Cook,RB,BUF,5,,4.0,,4.5,0.5,1.0
CeeDee Lamb,WR,DAL,6,,4.0,,5.0,1.0,2.0
Malik Nabers,WR,NYG,7,,6.0,,6.5,0.5,1.0
Ja'Marr Chase,WR,CIN,8,,1.0,,4.5,3.5,7.0
DeVonta Smith,WR,PHI,9,,15.0,,12.0,-3.0,-6.0
Puka Nacua,WR,LA,10,,2.0,,6.0,4.0,8.0
Ladd McConkey,WR,LAC,11,,18.0,,14.5,-3.5,-7.0
Jonathan Taylor,RB,IND,12,,3.0,,7.5,4.5,9.0
Kyren Williams,RB,LA,13,,16.0,,14.5,-1.5,-3.0
Jahmyr Gibbs,RB,DET,14,,1.0,,7.5,6.5,13.0
Drake London,WR,ATL,15,,7.0,,11.0,4.0,8.0
Brian Thomas Jr.,WR,JAX,16,,27.0,,21.5,-5.5,-11.0
Breece Hall,RB,NYJ,17,,11.0,,14.0,3.0,6.0
Josh Jacobs,RB,GB,18,,13.0,,15.5,2.5,5.0
A.J. Brown,WR,PHI,19,,10.0,,14.5,4.5,9.0
Bijan Robinson,RB,ATL,20,,1.0,,10.5,9.5,19.0
Tee Higgins,WR,CIN,21,,16.0,,18.5,2.5,5.0
Jalen Hurts,QB,PHI,22,,5.0,,13.5,8.5,17.0
Alvin Kamara,RB,NO,23,,47.0,,35.0,-12.0,-24.0
George Kittle,TE,SF,24,,11.0,,17.5,6.5,13.0
Jordan Addison,WR,MIN,25,,34.0,,29.5,-4.5,-9.0
Nico Collins,WR,HOU,26,,8.0,,17.0,9.0,18.0
Rashee Rice,WR,KC,27,,10.0,,18.5,8.5,17.0
Kenneth Walker III,RB,SEA,28,,9.0,,18.5,9.5,19.0
Xavier Worthy,WR,KC,29,,44.0,,36.5,-7.5,-15.0
Josh Allen,QB,BUF,30,,1.0,,15.5,14.5,29.0
DJ Moore,WR,CHI,31,,23.0,,27.0,4.0,8.0
Lamar Jackson,QB,BAL,32,,2.0,,17.0,15.0,30.0
Jayden Daniels,QB,WAS,33,,4.0,,18.5,14.5,29.0
Mike Evans,WR,TB,34,,24.0,,29.0,5.0,10.0
Bo Nix,QB,DEN,35,,12.0,,23.5,11.5,23.0
Terry McLaurin,WR,WAS,36,,22.0,,29.0,7.0,14.0
Patrick Mahomes,QB,KC,37,,6.0,,21.5,15.5,31.0
Christian McCaffrey,RB,SF,38,,3.0,,20.5,17.5,35.0
Chase Brown,RB,CIN,39,,7.0,,23.0,16.0,32.0
