player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0038542,Bijan Robinson,ATL,2026,RB,,22.707159481048585,363.31455169677736,67.05387069702148,329.7876163482666,20.611726021766664,284.2083639526367,384.2485598754883,1,False,127.62753663002343,24.0,202.1600797182432,1,1,1.15,0.1499999999999999,
00-0039040,De'Von Achane,MIA,2026,RB,,19.473036727905274,311.5685876464844,59.37572566986084,281.880724811554,17.617545300722124,256.1675506591797,344.0191827392578,2,False,127.62753663002343,24.0,154.25318818153056,2,2,5.79,3.79,
00-0039075,Puka Nacua,LA,2026,WR,,21.4393253326416,343.0292053222656,127.74069213867188,279.1588592529297,17.447428703308105,305.35028076171875,364.8703308105469,1,False,130.66782760620117,36.0,148.49103164672852,3,1,2.0,-1.0,
00-0039139,Jahmyr Gibbs,DET,2026,RB,,18.651986331939696,298.43178131103514,58.17738174438477,269.3430904388428,16.833943152427675,272.8058792114258,346.5006378173828,3,False,127.62753663002343,24.0,141.71555380881938,4,2,2.18,-1.8199999999999998,
00-0033280,Christian McCaffrey,SF,2026,RB,,17.575786920086642,281.2125907213863,55.90751968817219,253.25883087730017,15.82867692983126,171.41686579125292,268.97930489604727,4,False,127.62753663002343,24.0,125.63129424727674,5,2,3.15,-1.85,
00-0036963,Amon-Ra St. Brown,DET,2026,WR,,19.170740127563477,306.7318420410156,105.7990493774414,253.83231735229492,15.864519834518433,269.7312927246094,338.1231689453125,2,False,130.66782760620117,36.0,123.16448974609375,6,2,4.56,-1.4400000000000004,
00-0038543,Jaxon Smith-Njigba,SEA,2026,WR,,19.053306579589844,304.8529052734375,107.31470489501953,251.19555282592773,15.699722051620483,258.7035827636719,352.12017822265625,3,False,130.66782760620117,36.0,120.52772521972656,7,2,2.85,-4.15,
00-0036358,CeeDee Lamb,DAL,2026,WR,,18.139673233032227,290.2347717285156,84.7337875366211,247.86787796020508,15.491742372512817,241.07815551757812,308.13311767578125,4,False,130.66782760620117,36.0,117.2000503540039,8,2,4.85,-3.1500000000000004,
00-0040122,Ashton Jeanty,LV,2026,RB,,16.686065616607667,266.9770498657227,47.98498512268066,242.98455730438232,15.186534831523895,192.42822235107423,266.89488372802737,5,False,127.62753663002343,24.0,115.35702067435889,9,2,6.5,-2.5,
00-0037248,James Cook,BUF,2026,RB,,15.615459033840736,249.84734454145178,29.450692987213554,235.121998047845,14.695124877990313,212.58598455994363,265.9005179873237,6,False,127.62753663002343,24.0,107.49446141782158,10,2,,,
00-0040124,Tetairoa McMillan,CAR,2026,WR,,16.89475440979004,270.3160705566406,90.9666748046875,224.83273315429688,14.052045822143555,221.1090545654297,281.09375,5,False,130.66782760620117,36.0,94.1649055480957,11,3,15.03,4.029999999999999,
00-0036554,Nico Collins,HOU,2026,WR,,16.235902786254883,259.7744445800781,83.68641662597656,217.93123626708984,13.620702266693115,236.080810546875,291.61260986328125,7,False,130.66782760620117,36.0,87.26340866088867,12,3,9.35,-2.6500000000000004,
00-0039064,Zay Flowers,BAL,2026,WR,,16.71021842956543,267.3634948730469,99.68941497802734,217.5187873840332,13.594924211502075,225.86558532714844,278.5498046875,6,False,130.66782760620117,36.0,86.85095977783203,13,3,20.09,7.09,
00-0036322,Justin Jefferson,MIN,2026,WR,,15.844524383544922,253.51239013671875,74.24417877197266,216.39030075073242,13.524393796920776,201.34019470214844,291.9674987792969,9,False,130.66782760620117,36.0,85.72247314453125,14,3,5.71,-8.29,
00-0036912,DeVonta Smith,PHI,2026,WR,,15.999863624572754,255.99781799316406,89.4697036743164,211.26296615600586,13.203935384750366,213.50794982910156,253.57025146484375,8,False,130.66782760620117,36.0,80.59513854980469,15,3,16.74,1.7399999999999984,
00-0037840,Kyren Williams,LA,2026,RB,,14.081611180478461,225.30577888765538,38.49362172985143,206.0589680227297,12.878685501420605,203.778725628236,243.38570430987997,7,False,127.62753663002343,24.0,78.43143139270626,16,3,16.71,0.7100000000000009,
