player_id,player_display_name,team,season,position,projected_games_played,projected_ppr_per_game,projected_ppr,projected_receptions,projected_half_ppr,projected_half_ppr_per_game,ci_low,ci_high,position_rank,is_rookie,draft_round,draft_pick,is_sleeper,baseline_pts,baseline_rank,vbd,vbd_rank_overall,tier,consensus_rank,rank_diff,label
00-0036963,Amon-Ra St. Brown,DET,2026.0,WR,,19.808635711669922,316.93817138671875,114.98939514160156,259.44347381591797,16.215217113494873,271.9959411621094,334.60821533203125,1.0,False,,,,145.698974609375,36.0,171.23919677734375,1,1,4.56,3.5599999999999996,
,Jeremiyah Love,ARI,,RB,,,279.4779107840402,,,,,,,True,1.0,3.0,True,147.86696529171712,24.0,131.61094549232308,2,1,12.56,10.56,
00-0038542,Bijan Robinson,ATL,2026.0,RB,,17.31993579864502,277.1189727783203,59.160298881530764,247.53882333755493,15.471176458597183,221.61401794433596,338.63085693359375,1.0,False,,,,147.86696529171712,24.0,129.2520074866032,3,1,1.15,-1.85,
00-0038543,Jaxon Smith-Njigba,SEA,2026.0,WR,,16.863191604614258,269.8110656738281,111.36316680908203,214.1294822692871,13.383092641830444,218.3579864501953,293.654052734375,2.0,False,,,,145.698974609375,36.0,124.11209106445312,4,2,2.85,-1.15,
00-0039139,Jahmyr Gibbs,DET,2026.0,RB,,16.960346965789796,271.36555145263674,55.78519275665283,243.4729550743103,15.217059692144394,233.26282821655275,313.8318655395508,2.0,False,,,,147.86696529171712,24.0,123.49858616091961,5,1,2.18,-2.82,
00-0037239,Chris Olave,NO,2026.0,WR,,16.716289520263672,267.46063232421875,91.91585540771484,221.50270462036133,13.843919038772583,220.01296997070312,264.4755859375,3.0,False,,,,145.698974609375,36.0,121.76165771484375,6,2,11.85,5.85,
00-0039075,Puka Nacua,LA,2026.0,WR,,16.338438034057617,261.4150085449219,95.36189270019531,213.73406219482422,13.358378887176514,227.5096893310547,291.20977783203125,4.0,False,,,,145.698974609375,36.0,115.71603393554688,7,2,2.0,-5.0,
00-0039064,Zay Flowers,BAL,2026.0,WR,,15.968180656433105,255.4908905029297,80.89839935302734,215.04169082641602,13.440105676651001,202.56773376464844,273.33538818359375,5.0,False,,,,145.698974609375,36.0,109.79191589355469,8,2,20.09,12.09,
00-0040124,Tetairoa McMillan,CAR,2026.0,WR,,15.681336402893066,250.90138244628906,77.8051986694336,211.99878311157227,13.249923944473267,198.7398223876953,245.7156524658203,6.0,False,,,,145.698974609375,36.0,105.20240783691406,9,2,15.03,6.029999999999999,
00-0036358,CeeDee Lamb,DAL,2026.0,WR,,15.35276985168457,245.64431762695312,79.22640228271484,206.0311164855957,12.876944780349731,221.1986541748047,263.9601135253906,7.0,False,,,,145.698974609375,36.0,99.94534301757812,10,2,4.85,-5.15,
00-0033280,Christian McCaffrey,SF,2026.0,RB,,15.133197249165145,242.1311559866423,55.96904893570939,214.14663151878761,13.384164469924226,161.4691162971011,254.88241419234072,3.0,False,,,,147.86696529171712,24.0,94.26419069492519,11,2,3.15,-7.85,
00-0040122,Ashton Jeanty,LV,2026.0,RB,,14.573895502090455,233.18232803344728,47.23304630279541,209.56580488204958,13.097862805128099,195.28833633422852,262.630118560791,4.0,False,,,,147.86696529171712,24.0,85.31536274173015,12,2,6.5,-5.5,
00-0039040,De'Von Achane,MIA,2026.0,RB,,14.213600406646728,227.41760650634765,52.62539554595947,201.10490873336792,12.569056795835495,224.7400245666504,282.83495727539065,5.0,False,,,,147.86696529171712,24.0,79.55064121463053,13,2,5.79,-7.21,
00-0039732,Bo Nix,DEN,2026.0,QB,15.368741,22.08721160888672,339.45263671875,0.18370705842971802,339.36078318953514,21.210048949345946,274.0583190917969,336.4335632324219,1.0,False,,,,262.61468505859375,12.0,76.83795166015625,14,1,14.44,0.4399999999999995,
00-0036900,Ja'Marr Chase,CIN,2026.0,WR,,13.577025413513184,217.23240661621094,75.34498596191406,179.5599136352539,11.22249460220337,195.6912841796875,275.9146728515625,8.0,False,,,,145.698974609375,36.0,71.53343200683594,15,3,1.12,-13.879999999999999,
00-0036554,Nico Collins,HOU,2026.0,WR,,13.493610382080078,215.89776611328125,79.73751068115234,176.02901077270508,11.001813173294067,213.37657165527344,255.6508026123047,9.0,False,,,,145.698974609375,36.0,70.19879150390625,16,3,9.35,-6.65,
00-0037248,James Cook,BUF,2026.0,RB,,13.5550843227081,216.8813491633296,25.000267019604756,204.38121565352722,12.773825978345451,197.38806944369944,252.54304761423143,6.0,False,,,,147.86696529171712,24.0,69.01438387161247,17,2,,,
00-0037247,George Pickens,DAL,2026.0,WR,,13.399874687194824,214.3979949951172,72.273681640625,178.2611541748047,11.141322135925293,196.98028564453125,235.24847412109375,10.0,False,,,,145.698974609375,36.0,68.69902038574219,18,3,11.09,-6.91,
00-0037238,Drake London,ATL,2026.0,WR,,13.370061874389648,213.92098999023438,80.05258178710938,173.8946990966797,10.86841869354248,204.6187744140625,251.9127197265625,11.0,False,,,,145.698974609375,36.0,68.22201538085938,19,3,7.47,-11.530000000000001,
00-0039361,Bucky Irving,TB,2026.0,RB,,13.259246139526368,212.1479382324219,51.21463062286377,186.54062292099,11.658788932561874,169.77284301757814,231.26778472900392,7.0,False,,,,147.86696529171712,24.0,64.28097294070477,20,2,18.91,-1.0899999999999999,
00-0038120,Breece Hall,NYJ,2026.0,RB,,13.161130277645418,210.57808444232668,26.24529837766957,197.45543525349188,12.340964703343243,187.2106246296532,228.43813962744494,8.0,False,,,,147.86696529171712,24.0,62.71111915060956,21,2,15.03,-5.970000000000001,
00-0036912,DeVonta Smith,PHI,2026.0,WR,,12.986218452453613,207.7794952392578,72.379150390625,171.5899200439453,10.724370002746582,173.4756622314453,212.22393798828125,12.0,False,,,,145.698974609375,36.0,62.08052062988281,22,3,16.74,-5.260000000000002,
00-0039337,Malik Nabers,NYG,2026.0,WR,,12.892877578735352,206.28604125976562,67.47239685058594,172.54984283447266,10.784365177154541,166.1926727294922,224.90847778320312,13.0,False,,,,145.698974609375,36.0,60.587066650390625,23,3,9.71,-13.29,
00-0037740,Garrett Wilson,NYJ,2026.0,WR,,12.889074325561523,206.22518920898438,74.97103118896484,168.73967361450195,10.546229600906372,172.29306030273438,230.72132873535156,14.0,False,,,,145.698974609375,36.0,60.526214599609375,24,3,15.85,-8.15,
00-0036410,Tee Higgins,CIN,2026.0,WR,,12.612445831298828,201.79913330078125,67.35774230957031,168.1202621459961,10.507516384124756,171.40164184570312,226.70086669921875,15.0,False,,,,145.698974609375,36.0,56.10015869140625,25,3,16.94,-8.059999999999999,
00-0040129,Emeka Egbuka,TB,2026.0,WR,,12.586885452270508,201.39016723632812,68.01646423339844,167.3819351196289,10.461370944976807,168.9297637939453,214.0789794921875,16.0,False,,,,145.698974609375,36.0,55.691192626953125,26,3,23.21,-2.789999999999999,
00-0035676,A.J. Brown,NE,2026.0,WR,,12.389880180358887,198.2380828857422,72.2273941040039,162.12438583374023,10.132774114608765,179.1370391845703,233.18165588378906,17.0,False,,,,145.698974609375,36.0,52.53910827636719,27,3,12.68,-14.32,
00-0039067,Rashee Rice,KC,2026.0,WR,,12.365525245666504,197.84840393066406,67.39424133300781,164.15128326416016,10.25945520401001,169.60336303710938,218.4598388671875,18.0,False,,,,145.698974609375,36.0,52.14942932128906,28,3,10.71,-17.29,
00-0039893,Brian Thomas Jr.,JAX,2026.0,WR,,12.34069538116455,197.4511260986328,64.12652587890625,165.3878631591797,10.33674144744873,168.1722412109375,214.35231018066406,19.0,False,,,,145.698974609375,36.0,51.75215148925781,29,3,39.06,10.060000000000002,
00-0040784,Quinshon Judkins,CLE,2026.0,RB,,12.308737516403198,196.93980026245117,29.491403961181643,182.19409828186036,11.387131142616273,133.67438888549805,221.00350845336914,9.0,False,,,,147.86696529171712,24.0,49.07283497073405,30,3,23.59,-6.41,
00-0039851,Drake Maye,NE,2026.0,QB,14.923705,20.882164001464844,311.6392517089844,0.4851378798484802,311.39668276906013,19.46229267306626,273.692138671875,325.0917053222656,2.0,False,,,,262.61468505859375,12.0,49.024566650390625,31,1,3.08,-27.92,bust
00-0036355,Justin Herbert,LAC,2026.0,QB,16.361116,18.98470115661621,310.61090087890625,0.09893451631069183,310.5614336207509,19.41008960129693,278.2872009277344,329.877197265625,3.0,False,,,,262.61468505859375,12.0,47.9962158203125,32,1,8.17,-23.83,bust
00-0036223,Jonathan Taylor,IND,2026.0,RB,,12.221149439762751,195.53839103620402,37.01110858580415,177.03283674330194,11.064552296456371,175.33416425304165,229.1296456165562,10.0,False,,,,147.86696529171712,24.0,47.671425744486896,33,3,4.03,-28.97,bust
00-0036613,Jaylen Waddle,DEN,2026.0,WR,,11.887412071228027,190.19859313964844,59.70790481567383,160.34464073181152,10.02154004573822,122.26299285888672,184.96401977539062,20.0,False,,,,145.698974609375,36.0,44.49961853027344,34,3,21.03,-12.969999999999999,
00-0035700,Josh Jacobs,GB,2026.0,RB,,12.018100657570777,192.28961052113243,35.864148629676144,174.35753620629436,10.897346012893397,154.322645917993,197.67461639122305,11.0,False,,,,147.86696529171712,24.0,44.42264522941531,35,3,13.24,-21.759999999999998,bust
00-0038597,Chase Brown,CIN,2026.0,RB,,11.855126197320153,189.68201915712245,36.484968260230474,171.43953502700722,10.714970939187952,179.08551835307514,220.07271621933873,12.0,False,,,,147.86696529171712,24.0,41.81505386540533,36,3,7.65,-28.35,bust
00-0036322,Justin Jefferson,MIN,2026.0,WR,,11.719593048095703,187.51348876953125,69.83222198486328,152.5973777770996,9.537336111068726,159.91619873046875,250.75668334960938,21.0,False,,,,145.698974609375,36.0,41.81451416015625,37,3,5.71,-31.29,bust
00-0040715,Cam Skattebo,NYG,2026.0,RB,,11.718264665603638,187.4922346496582,45.3574564743042,164.81350641250611,10.300844150781632,163.7133575439453,228.29289276123046,13.0,False,,,,147.86696529171712,24.0,39.62526935794108,38,3,20.85,-17.15,
00-0039919,Rome Odunze,CHI,2026.0,WR,,11.543758392333984,184.70013427734375,51.87251663208008,158.7638759613037,9.922742247581482,143.1919403076172,188.0909881591797,22.0,False,,,,145.698974609375,36.0,39.00115966796875,39,4,30.06,-8.940000000000001,
00-0040128,Tyler Warren,IND,2026.0,TE,,11.13847541809082,178.21560668945312,73.6489028930664,141.39115524291992,8.836947202682495,154.38084411621094,200.2239227294922,1.0,False,,,,140.54624938964844,12.0,37.66935729980469,40,1,4.09,-35.91,bust
00-0036970,Kyle Pitts,ATL,2026.0,TE,,11.06777572631836,177.08441162109375,75.7864990234375,139.191162109375,8.699447631835938,151.5541229248047,199.50421142578125,2.0,False,,,,140.54624938964844,12.0,36.53816223144531,41,1,,,
00-0038117,Wan'Dale Robinson,TEN,2026.0,WR,,11.38209342956543,182.11349487304688,69.97954559326172,147.12372207641602,9.195232629776001,158.9398651123047,206.52487182617188,23.0,False,,,,145.698974609375,36.0,36.414520263671875,42,4,39.88,-2.1199999999999974,
00-0040126,Colston Loveland,CHI,2026.0,TE,,11.035810470581055,176.57296752929688,73.9568862915039,139.59452438354492,8.724657773971558,151.1722412109375,187.86647033691406,3.0,False,,,,140.54624938964844,12.0,36.02671813964844,43,1,3.19,-39.81,bust
00-0038544,Quentin Johnston,LAC,2026.0,WR,,11.327593803405762,181.2415008544922,55.32915496826172,153.57692337036133,9.598557710647583,149.24740600585938,179.49595642089844,24.0,False,,,,145.698974609375,36.0,35.54252624511719,44,4,49.09,5.090000000000003,
00-0038134,Kenneth Walker III,KC,2026.0,RB,,11.408115470554632,182.52984752887411,28.579036643036748,168.24032920735573,10.515020575459733,160.6681406674656,218.37742030922476,14.0,False,,,,147.86696529171712,24.0,34.66288223715699,45,3,11.12,-33.88,bust
