player_id,player_display_name,team,opponent,position,season,week,is_home,projected_ppr_base,ci_low,ci_high,position_rank_week,projected_ppr,matchup_multiplier,proj_receptions_week,projected_points,trending_adds_24h,waiver_score,waiver_rank
00-0039139,Jahmyr Gibbs,DET,LA,RB,2025,15,0,23.8797,19.43142,25.965567,1,23.8797,1.0,6.5,23.87969970703125,0,23.87969970703125,1
00-0039040,De'Von Achane,MIA,PIT,RB,2025,15,0,21.257393,17.479012,22.692307,2,21.257393,1.0,3.0,21.25739288330078,0,21.25739288330078,2
00-0038542,Bijan Robinson,ATL,TB,RB,2025,15,0,19.448872,16.912634,21.125269,3,19.448872,1.0,3.25,19.448871612548828,0,19.448871612548828,3
00-0039361,Bucky Irving,TB,ATL,RB,2025,15,1,18.589607,13.391321,17.802027,4,18.589607,1.0,3.25,18.58960723876953,0,18.58960723876953,4
00-0036919,Kenneth Gainwell,PIT,MIA,RB,2025,15,1,15.201451,11.264047,16.60001,7,15.201451,1.0,5.25,15.201451301574707,0,15.201451301574707,5
00-0037840,Kyren Williams,LA,DET,RB,2025,15,1,14.933734,12.662547,15.854079,8,14.933734,1.0,1.0,14.933733940124512,0,14.933733940124512,6
00-0038597,Chase Brown,CIN,BAL,RB,2025,15,1,14.762298,13.58666,16.564999,9,14.762298,1.0,4.5,14.762297630310059,0,14.762297630310059,7
00-0038134,Kenneth Walker III,SEA,IND,RB,2025,15,1,14.601852,13.788633,18.550058,10,14.601852,1.0,2.5,14.601852416992188,0,14.601852416992188,8
00-0038120,Breece Hall,NYJ,JAX,RB,2025,15,0,13.949025,12.308066,14.491289,11,13.949025,1.0,2.0,13.94902515411377,0,13.94902515411377,9
00-0036223,Jonathan Taylor,IND,SEA,RB,2025,15,0,13.913914,13.459728,17.15077,12,13.913914,1.0,2.0,13.91391372680664,0,13.91391372680664,10
00-0036158,J.K. Dobbins,DEN,GB,RB,2025,15,1,13.885629,11.370618,14.766951,13,13.885629,1.0,1.25,13.885628700256348,0,13.885628700256348,11
00-0039384,Tyrone Tracy Jr.,NYG,WAS,RB,2025,15,1,13.727851,11.731457,14.542003,14,13.727851,1.0,2.25,13.727850914001465,0,13.727850914001465,12
00-0036139,Rico Dowdle,CAR,NO,RB,2025,15,0,13.600397,10.6667,14.460651,15,13.600397,1.0,3.5,13.600397109985352,0,13.600397109985352,13
00-0035700,Josh Jacobs,GB,DEN,RB,2025,15,0,13.590712,12.512788,15.650705,16,13.590712,1.0,2.0,13.59071159362793,0,13.59071159362793,14
00-0036555,Chuba Hubbard,CAR,NO,RB,2025,15,0,12.330566,10.930073,13.75786,19,12.330566,1.0,2.0,12.33056640625,0,12.33056640625,15
00-0036973,Travis Etienne,JAX,NYJ,RB,2025,15,1,12.306642,11.133905,13.067144,20,12.306642,1.0,1.25,12.306641578674316,0,12.306641578674316,16
00-0036275,D'Andre Swift,CHI,CLE,RB,2025,15,1,11.999053,11.120604,13.937353,22,11.999053,1.0,1.25,11.999053001403809,0,11.999053001403809,17
00-0037256,Rachaad White,TB,ATL,RB,2025,15,1,11.75276,8.579286,11.512416,23,11.75276,1.0,1.75,11.75275993347168,0,11.75275993347168,18
00-0035261,Tony Pollard,TEN,SF,RB,2025,15,0,11.656968,11.037403,13.0125885,24,11.656968,1.0,2.0,11.656968116760254,0,11.656968116760254,19
00-0033553,James Conner,ARI,HOU,RB,2025,15,0,11.080435,8.928568,11.360057,25,11.080435,1.0,2.6666666666666665,11.080434799194336,0,11.080434799194336,20
00-0039165,Zach Charbonnet,SEA,IND,RB,2025,15,1,10.997385,9.14016,12.008849,26,10.997385,1.0,1.0,10.997385025024414,0,10.997385025024414,21
00-0037248,James Cook,BUF,NE,RB,2025,15,0,10.738399,11.93082,16.072048,27,10.738399,1.0,2.75,10.738398551940918,0,10.738398551940918,22
00-0039391,Kimani Vidal,LAC,KC,RB,2025,15,0,10.589061,10.094344,12.299806,29,10.589061,1.0,1.25,10.58906078338623,0,10.58906078338623,23
00-0035685,David Montgomery,DET,LA,RB,2025,15,0,10.119048,9.010169,11.1829605,30,10.119048,1.0,1.75,10.119048118591309,0,10.119048118591309,24
00-0036875,Rhamondre Stevenson,NE,BUF,RB,2025,15,1,10.10199,8.9097595,11.117095,31,10.10199,1.0,1.75,10.10198974609375,0,10.10198974609375,25
00-0036997,Javonte Williams,DAL,MIN,RB,2025,15,1,9.51841,9.889301,12.439609,32,9.51841,1.0,2.0,9.518409729003906,0,9.518409729003906,26
00-0035250,Devin Singletary,NYG,WAS,RB,2025,15,1,9.504835,8.447767,10.5386715,33,9.504835,1.0,1.75,9.50483512878418,0,9.50483512878418,27
00-0039921,Trey Benson,ARI,HOU,RB,2025,15,0,9.234819,8.524612,10.723879,34,9.234819,1.0,3.25,9.234819412231445,0,9.234819412231445,28
00-0038797,Emanuel Wilson,GB,DEN,RB,2025,15,0,9.065909,7.977127,10.270077,35,9.065909,1.0,0.75,9.065909385681152,0,9.065909385681152,29
00-0037228,Jaylen Warren,PIT,MIA,RB,2025,15,1,8.732999,8.581392,11.122362,36,8.732999,1.0,1.75,8.732998847961426,0,8.732998847961426,30
00-0033699,Austin Ekeler,WAS,NYG,RB,2025,15,0,8.719724,6.932298,9.742601,37,8.719724,1.0,2.5,8.71972370147705,0,8.71972370147705,31
00-0037525,Jordan Mason,MIN,DAL,RB,2025,15,0,8.520533,7.1709056,9.182476,38,8.520533,1.0,0.25,8.520532608032227,0,8.520532608032227,32
00-0039032,Tyjae Spears,TEN,SF,RB,2025,15,0,8.48414,5.476042,9.773823,39,8.48414,1.0,4.25,8.484140396118164,0,8.484140396118164,33
00-0038951,Sean Tucker,TB,ATL,RB,2025,15,1,8.437001,7.188937,9.489105,40,8.437001,1.0,0.75,8.43700122833252,0,8.43700122833252,34
00-0037263,Tyler Allgeier,ATL,TB,RB,2025,15,0,8.362123,7.0459785,8.719875,41,8.362123,1.0,1.75,8.362122535705566,0,8.362122535705566,35
00-0036924,Michael Carter,ARI,HOU,RB,2025,15,0,8.344855,8.179813,10.200751,42,8.344855,1.0,3.75,8.344855308532715,0,8.344855308532715,36
00-0039738,Blake Corum,LA,DET,RB,2025,15,1,7.891525,6.766724,9.919599,43,7.891525,1.0,0.5,7.891524791717529,0,7.891524791717529,37
00-0038611,Chris Rodriguez Jr.,WAS,NYG,RB,2025,15,0,7.818151,7.532404,9.569142,44,7.818151,1.0,0.25,7.818150997161865,0,7.818150997161865,38
